# Task: sitting,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,44,0.71,18.75,0.43,7.75,1.3
250,44,0,18.5,0.5,8.67,0.47
500,43.75,0.83,18,0,9.67,0.94
750,43.75,0.43,18.25,0.43,9,0
1000,43.75,0.43,18,0,9,0
1250,44,0,18.25,0.43,10,0
1500,44,0,18,0,10.75,1.09
1750,43.5,0.5,18,0,11,0.71
2000,44,0,18,0,12,0
2250,43.5,0.5,18,0,12,0
2500,43.33,0.47,18,0,12.75,0.83
2750,43.5,0.5,18,0,13,1
3000,44,0,18,0,12.5,0.5
3250,43.5,0.5,18,0,11.75,0.43
3500,43.5,0.5,18,0,9.5,1.5
3750,43.25,0.83,17.75,0.43,15,2.12
4000,43.5,0.5,16.67,0.47,18.33,0.47
4250,43.75,0.43,17.75,0.43,16.75,1.3
4500,43.5,0.5,18.25,0.43,16,0.71
4750,43.5,0.5,16,0.71,17.25,0.83
5000,43.5,0.5,13.75,0.83,19,0.71
5250,43.67,0.47,13,0,20.67,0.47
5500,43.5,0.5,13,0,20.25,0.83
5750,43.33,0.47,14.67,0.47,20,0.71
6000,43.5,0.5,15,0,19.5,0.87
6250,43.5,0.5,14.5,0.5,19.5,1.12
6500,43.5,0.5,14.5,0.5,19.25,0.83
6750,43.5,0.5,14,1.22,17.5,1.5
7000,43.5,0.5,11.75,0.43,15.75,1.48
7250,43.25,0.83,12.75,0.43,16.75,0.83
7500,43.25,0.83,12,0,18,0
7750,43.25,0.83,11.5,0.5,18.5,0.5
8000,43.5,0.5,10.75,0.43,18.25,0.43
8250,43.5,0.5,9.67,1.7,18.33,0.47
8500,43,0.71,12.75,0.43,20.5,0.5
8750,42.67,0.47,12.25,1.09,23,1.41
9000,42.5,0.5,16.5,1.5,18,1.22
9250,42.33,0.47,18.67,0.94,17.75,0.43
9500,42,0,19.5,0.5,13.25,2.68
9750,42,0,20,1,13,3.54
10000,42,0,19.25,0.83,20,2.35
10250,42,0,17.75,0.43,21.5,0.5
10500,42,0,17.75,0.43,21.5,0.5
10750,42,0,18,0,22.25,0.83
11000,42,0,18.25,0.43,21.25,0.43
11250,42,0,20.5,0.87,20.75,0.43
11500,42,0,18.75,1.3,20.75,0.83
11750,42,0,17.25,0.43,20,1
12000,42,0,17,0.82,21,0
12250,42,0,17.25,0.43,20.5,0.5
12500,42,0,18,0,20.67,0.47
12750,42,0,18,0,20,1.1
13000,42,0,18.5,0.5,19,0
13250,42,0,16.87,3.59,16.29,4.67
13750,42,0,18.25,1.79,18.25,2.17
14000,42,0,18,1.58,15.75,2.59
14250,42.25,0.43,16,2.94,13,1.63
14500,43.5,0.5,18.25,0.83,4,0.71
14750,43.33,0.47,18.75,0.43,8.33,0.47
15000,43.5,0.5,18.5,0.5,8,1.41
15250,43.5,0.5,18.25,0.43,10.25,3.27
15500,43.5,0.5,18,0,14.5,0.87
15750,43.33,0.47,18,0,14.5,0.5
16000,43.5,0.5,18,0,15,0
16250,43.5,0.5,18,0,13,0.82
16500,43.5,0.5,18,0,11.75,0.43
16750,43.5,0.5,18,0,8.5,0.5
17000,43.5,0.5,17.67,0.47,6,0.82
17250,43.5,0.5,16.67,1.25,7.5,0.5
17500,43.75,0.43,12.67,0.94,5.5,4.5
17750,44,0,15.75,0.43,7,1.63
18000,44.67,0.47,9.33,1.25,8,1
18250,45,0,10.67,1.25,9,0
18500,44.67,0.47,8.33,1.7,8.33,0.47
18750,44.5,0.5,10.25,4.02,7.67,1.89
19000,43.5,0.5,17.25,0.83,10.33,1.25
19250,44,0,18,0,12,0
19500,44.5,0.5,17.75,0.43,10,0.82
19750,44.25,0.43,18,0,9.25,0.43
20000,44.5,0.5,18,0,8.75,0.43
20250,44,0.71,18,0,9,0
20500,44.5,0.5,18,0,7.5,1.12
20750,44.5,0.5,17.5,0.5,9,0
21000,44.33,0.47,17.25,0.43,9,0
21250,44,0.82,17,0,8,1.22
21500,44.25,0.43,18.25,0.43,9,2.55
21750,43.5,0.5,15.25,1.92,9.25,3.27
22000,42.5,0.87,10.25,2.05,10.25,4.26
22250,42,0,6.5,2.87,13.67,1.25
22500,42,0,10.75,4.92,8,5.7
22750,42.5,0.5,10.25,5.45,6.67,2.62
23000,43.25,0.43,13.75,2.28,10.33,1.25
23250,43.75,0.43,12,2.12,13.25,3.03
23500,44.75,0.43,10.33,5.25,16,1.41
23750,45,0,5.67,3.68,15,0
24000,44.75,0.43,10.5,1.5,12.33,0.47
24250,44.5,0.5,12,0,14.5,1.12
24500,44.25,0.43,10.5,1.12,16.25,0.83
24750,43.67,0.47,8.67,0.47,15,0
25000,43.5,0.5,11.75,2.17,15.25,0.43
25250,44.25,0.83,13.5,0.87,18,1.22
25500,44.5,0.5,14.25,0.43,18.25,0.43
25750,44.33,0.47,12.67,0.47,18.25,0.43
26000,44.5,0.5,14.75,0.43,18.25,0.43
26250,44.5,0.5,15,0,16.5,1.12
26500,44.5,0.5,15.75,0.43,16.25,0.83
26750,44.5,0.5,16.5,0.5,15.5,0.87
27000,44.5,0.5,15.75,0.83,15.5,0.87
27250,44.5,0.5,15.75,0.83,16.5,1.12
27500,44.5,0.5,15,0,16,1
27750,44.5,0.5,15.4,0.49,15.8,0.98
28000,44.67,0.47,17.5,0.87,16.67,0.94
28250,43.75,0.43,16.25,0.83,16.5,1.12
28500,43.75,0.43,15.33,0.47,16.25,0.83
28750,44.5,0.5,17.5,0.5,15.25,0.83
29000,44.25,0.83,18,0,13,1.87
29250,44,0,18,0,9,2
29500,44.25,0.83,17.75,0.43,11.75,1.09
29750,44.5,0.5,17.75,0.43,14,1
30000,44.5,0.5,17.75,0.43,14.5,0.5
30250,44.5,0.5,18,0,13,0.82
30500,44.5,0.5,18,0,12.5,0.87
30750,44.25,0.43,17,1,11.25,0.83
31000,44.25,0.43,15.5,1.12,15.75,2.28
31250,44.5,0.5,10.75,1.48,14.25,1.48
31500,44.5,0.5,9,0.82,11.67,0.47
31750,44.5,0.5,9.67,0.47,11.33,0.94
32000,44.25,0.43,10.67,0.47,11.75,0.83
32250,44.5,0.5,11,0.71,12,0
32500,44.67,0.47,10.75,1.3,12.33,0.47
32750,44.5,0.5,12,0,10.75,1.09
33000,43.75,0.43,12.5,0.5,13.75,1.3
33250,43.33,0.47,12.33,0.47,15.5,0.5
33500,44,0,12.67,0.47,15,0
33750,44,0,12.75,0.43,12.75,0.43
34000,43.75,0.83,14,0,12,0
34250,43.75,0.43,14,0,13.25,1.3
34500,43.75,0.43,14.33,0.47,13,0.82
34750,44.25,0.83,13.5,0.5,13.25,1.3
35000,44,0,13.75,0.43,13,1
35250,44.33,0.47,13.5,0.5,13.33,1.25
35500,43.67,0.47,14.33,0.47,13.25,0.83
35750,44,0.71,14.25,0.43,14.25,0.83
36000,43.75,0.43,14.75,0.43,14.75,0.43
36250,43.75,0.43,15,0,15,0
36500,44,0.71,15,0,13.25,0.83
36750,43.33,0.47,14.33,0.47,13.25,0.83
37000,44.25,0.43,14.5,0.5,12,0
